,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,2.3,,,,,30,,,,
2일,0.3,1.7,,,,,,33.5,,15.8,,
3일,0,,,,,,,51.1,,76,0,1.1
4일,0,0,,,,,0,0,33.8,11.8,,
5일,,,,,,0,0,0,120,0.1,,
6일,,,,,,4.3,16.1,13.6,25.3,0,,0.1
7일,,,,,0.5,0,0,0.9,,,0,0.1
8일,0,,,,2,,1.7,129.6,,,,
9일,,,,0.5,,2.6,0.1,123.1,,20.4,,0
10일,0.9,,,,0,1.2,0,7.6,,0,,
11일,0.2,,,,0,,9,38.8,0.1,,,
12일,,,2.6,0.5,,,,,,,57.9,5.4
13일,,,42.1,1.3,,18,114.5,4,0,,,0.6
14일,,1.7,8.7,,,0,0.9,3,0,,,
15일,0,0,,,,18.5,,0.9,0.1,,1.6,2.4
16일,0,0,,,,0.7,34,0,14.6,,,
17일,0.5,,1.2,,,,0,0,4.3,,,0.2
18일,,,0,,1.5,0,,,,,,
19일,2.7,0.1,14.6,,,,,66.1,,,,
20일,,,0,,,,1.1,0,,,,
21일,,0.1,,,,,10.4,,,,,3.6
22일,,,,,,,5.2,3.2,,,0,
23일,,,,,,103,9.9,2.2,3.3,,0,
24일,,,,0.3,,19.1,1.2,,,,,
25일,0.7,,10.9,1.3,3.5,,,1.6,,,1.7,
26일,,1.1,19.8,1,0,,,,,,,
27일,,,,,0,5.1,,17.6,,,,
28일,,,,0,,6.3,,,,,19.5,0.1
29일,,,,15.5,,37.8,,2.2,,,3.8,0
30일,,,0.4,,0,176.2,1,35.8,,,,0
31일,1.2,,,,,,47.2,0,,,,0
